Sexo,Idade,Escolaridade,Bairro de Origem,Distrito,Referência,Local de Atendimento,Programa Vinculado,Tipo de Atendimento
Masculino,54,Fundamental Incompleto,Vargem Grande,3º,CRAS Bonsucesso,CRAS Bonsucesso,PAIF,Cadastro Único
Feminino,39,Superior Incompleto,Vieira,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Cadastro Único
Masculino,26,Fundamental Incompleto,Bonsucesso,3º,CRAS Bonsucesso,CRAS Bonsucesso,PAIF,Cadastro Único
Masculino,55,Fundamental Incompleto,Mottas,3º,CRAS Bonsucesso,CRAS Bonsucesso,PAIF,Cadastro Único
Feminino,29,Fundamental Completo,Mottas,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Assistente Social
Feminino,44,Fundamental Incompleto,Vieira ,3º,CRAS Bonsucesso,CRAS Bonsucesso,PAIF,Cadastro Único
Feminino,42,Fundamental Incompleto,Vieira,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Cadastro Único
Feminino,31,Fundamental Incompleto,Bonsucesso,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Assistente Social
Feminino,38,Médio Incompleto,Sebastiana,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Cadastro Único
Feminino,33,Fundamental Completo,Vieira,3º,CRAS Bonsucesso,CRAS Bonsucesso,PAIF,Cadastro Único
Feminino,26,Fundamental Completo,Imbiu,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Assistente Social
Feminino,51,Fundamental Incompleto,Imbiu,3º,CRAS Bonsucesso,CRAS Bonsucesso,PAIF,Assistente Social
Feminino,18,Médio Completo,Vieira,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Assistente Social
Feminino,18,Médio Completo,Vieira,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Cadastro Único
Feminino,18,Médio Completo,Santa Rosa ,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Cadastro Único
Feminino,18,Médio Completo,Santa Rosa ,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Assistente Social
Feminino,21,Médio Completo,Bonsucesso,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Assistente Social
Feminino,21,Médio Completo,Bonsucesso,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Cadastro Único
Masculino,54,Fundamental Incompleto,Vieira,3º,CRAS Bonsucesso,CRAS Bonsucesso,PAIF,Cadastro Único
Feminino,47,Fundamental Incompleto,Vieira,3º,CRAS Bonsucesso,CRAS Bonsucesso,PAIF,Cadastro Único
Feminino,44,Médio Completo,Bonsucesso,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Cadastro Único
Feminino,44,Médio Completo,Bonsucesso,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Assistente Social
Feminino,48,Fundamental Incompleto,Bonsucesso,3º,CRAS Bonsucesso,CRAS Bonsucesso,PAIF,Assistente Social
Feminino,30,Fundamental Completo,Vista Alegre,3º,CRAS Bonsucesso,CRAS Bonsucesso,PAIF,Cadastro Único
Feminino,40,Fundamental Incompleto,Vargem Grande,3º,CRAS Bonsucesso,CRAS Bonsucesso,PAIF,Assistente Social
Feminino,39,Fundamental Incompleto,Imbiu,3º,CRAS Bonsucesso,CRAS Bonsucesso,PAIF,Assistente Social
Feminino,54,Fundamental Incompleto,Bonsucesso,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Cadastro Único
Feminino,18,Médio Completo,Bonsucesso,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Cadastro Único
Feminino,18,Médio Completo,Bonsucesso,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Assistente Social
Feminino,64,Fundamental Incompleto,Bonsucesso,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Assistente Social
Feminino,59,Fundamental Incompleto,Vieira,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Assistente Social
Feminino,28,Fundamental Completo,Vieira,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Cadastro Único
Masculino,51,Não Escolarizado,Vale Alpino,3º,CRAS Bonsucesso,CRAS Bonsucesso,PAIF,Cadastro Único
Feminino,49,Fundamental Completo,Bonsucesso,3º,CRAS Bonsucesso,CRAS Bonsucesso,PAIF,Cadastro Único
Feminino,49,Fundamental Completo,Bonsucesso,3º,CRAS Bonsucesso,CRAS Bonsucesso,PAIF,Assistente Social
Feminino,64,Fundamental Incompleto,Bonsucesso,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Cadastro Único
Feminino,39,Médio Completo,Bonsucesso,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Cadastro Único
Feminino,37,Médio Completo,Imbiu,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Assistente Social
Feminino,23,Médio Incompleto,Bonsucesso,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Assistente Social
Feminino,33,Fundamental Incompleto,Imbiu,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Cadastro Único
Feminino,19,Médio Completo,Vieira,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Assistente Social
Feminino,34,Fundamental Incompleto,Bonsucesso,3º,CRAS Bonsucesso,CRAS Bonsucesso,PAIF,Cadastro Único
Feminino,49,Fundamental Incompleto,Bonsucesso,3º,CRAS Bonsucesso,CRAS Bonsucesso,PAIF,Cadastro Único
Feminino,32,Médio Completo,Bonsucesso,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Cadastro Único
Feminino,51,Não Escolarizado,Vista Alegre,3º,CRAS Bonsucesso,CRAS Bonsucesso,PAIF,Assistente Social
Feminino,47,Fundamental Incompleto,Vargem Grande,3º,CRAS Bonsucesso,CRAS Bonsucesso,PAIF,Cadastro Único
Feminino,25,Médio Completo,Vargem Grande,3º,CRAS Bonsucesso,CRAS Bonsucesso,Público Geral,Cadastro Único
