Sexo,Idade,Escolaridade,Bairro de Origem,Distrito,Referência,Local de Atendimento,Programa Vinculado,Tipo de Atendimento
Feminino,37,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Atendimento Geral 
Feminino,26,Ensino Médio Completo,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Atendimento Geral 
Feminino,43,Ensino Fundamental Incompleto,Bom Retiro , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,55,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,42,Ensino Superior Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Masculino,44,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,PAIF,Assistente Social 
Feminino,62,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Cadastro Único
Feminino,12,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público Geral,Psicólogo
Feminino,56,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Psicólogo
Feminino,50,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Cadastro Único
Feminino,68,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Masculino,57,Ensino Fundamental Incompleto,Vale da Revolta , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,23,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,57,Ensino Fundamental Incompleto,Vale da Revolta , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,47,Ensino Médio Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,44,Ensino Fundamental Incompleto,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Assistente Social 
Feminino,55,Ensino Fundamental Incompleto,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Cadastro Único 
Feminino,17,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Psicólogo
Feminino,26,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Psicólogo
Masculino,46,Ensino Fundamental Incompleto,Agriões, 1,CRAS Meudon,CRAS Meudon,Público geral ,Assistente Social 
Feminino,65,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,43,Ensino Fundamental Incompleto,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Cadastro Único 
Feminino,20,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,66,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,69,Ensino Fundamental Incompleto,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,24,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,46,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,54,Ensino Fundamental Incompleto,Bom Retiro , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,30,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral , Cadastro Único
Feminino,26,Ensino Médio Completo,Coreia , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,45,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral , Cadastro Único
Feminino,33,Ensino Fundamental Incompleto,Coreia , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,44,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,45,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,23,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,PAIF ,Assistente Social 
Feminino,35,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Assistente Social 
Feminino,43,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,40,Ensino Fundamental Incompleto,Coreia , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,56,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,53,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,56,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,41,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,36,Ensino Fundamental Incompleto,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,30,Ensino Médio Completo,Bom Retiro , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,26,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,23,Ensino Fundamental Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,35,Ensino Fundamental Completo,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,36,Ensino Fundamental Completo,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,49,Ensino Médio Completo,Bom Retiro , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,63,Ensino Fundamental Incompleto,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,69,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Coordenação
Feminino,70,Ensino Fundamental Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único
Feminino,32,Ensino Fundamental Incompleto,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Assistente Social 
Feminino,50,Ensino Superior Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,40,Ensino Médio Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Atendimento Geral 
Feminino,57,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Atendimento Geral 
Feminino,46,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Atendimento Geral 
Feminino,28,Ensino Fundamental Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Atendimento Geral 
Feminino,66,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Atendimento Geral 
Masculino,60,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Psicólogo
Feminino,32,Ensino Médio Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Assistente Social 
Feminino,56,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Atendimento Geral 
Feminino,32,Ensino Fundamental Incompleto,Coreia , 1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Atendimento Geral 
Feminino,23,Ensino Fundamental Incompleto,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Atendimento Geral 
Feminino,44,Ensino Fundamental Completo,Coreia , 1,CRAS Meudon,CRAS Meudon,PAIF,Assistente Social 
Feminino,56,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Atendimento Geral 
Feminino,56,Ensino Médio Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Atendimento Geral 
Feminino,42,Ensino Médio Incompleto,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Atendimento Geral 
Feminino,56,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Atendimento Geral 
Feminino,42,Ensino Médio Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Atendimento Geral 
Feminino,56,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,70,Ensino Médio Completo,Bom Retiro , 1,CRAS Meudon,CRAS Meudon,Público geral ,Atendimento Geral 
Feminino,56,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Atendimento Geral 
Feminino,32,Ensino Médio Incompleto,Coreia , 1,CRAS Meudon,CRAS Meudon,PAIF,Assistente Social 
Feminino,45,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,44,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,PAIF,Assistente Social 
Feminino,56,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Fortalecimento de Vínculos,Atendimento Geral 
Feminino,56,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Atendimento Geral 
Feminino,59,Ensino Médio Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Atendimento Geral 
Feminino,44,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Atendimento Geral 
Feminino,35,Ensino Fundamental Completo,Coreia , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,26,Ensino Médio Completo,Vale da Revolta , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,26,Ensino Médio Completo,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,25,Ensino Fundamental Completo,Coreia , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,25,Ensino Fundamental Incompleto,Coreia , 1,CRAS Meudon,CRAS Meudon,Público geral ,Assistente Social 
Feminino,51,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Masculino,68,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Masculino,35,Ensino Fundamental Incompleto,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,65,Ensino Médio Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Assistente Social 
Feminino,51,Ensino Fundamental Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,61,Ensino Fundamental Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Masculino,25,Ensino Fundamental Incompleto,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,26,Ensino Fundamental Incompleto,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,50,Ensino Fundamental Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,60,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,40,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Masculino,74,Ensino Fundamental Completo,Vale da Revolta , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,43,Ensino Fundamental Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,26,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Masculino,63,Ensino Médio Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,46,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,32,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,59,Ensino Médio Completo,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,35,Ensino Superior Completo,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,38,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Assistente Social 
Feminino,72,Ensino Fundamental Completo,Vale da Revolta , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,60,Ensino Médio Completo,Vale da Revolta , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Masculino,40,Ensino Fundamental Completo,Vale da Revolta , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,40,Ensino Médio Completo,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,52,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,43,Ensino Fundamental Incompleto,Vale da Revolta , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,61,Ensino Fundamental Completo,Vale da Revolta , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,53,Ensino Fundamental Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,21,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,71,Ensino Fundamental Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,48,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,55,Ensino Fundamental Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,22,Ensino Fundamental Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,62,Ensino Médio Completo,Bom Retiro , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Masculino,50,Ensino Fundamental Incompleto,Vale da Revolta , 1,CRAS Meudon,CRAS Meudon,PAIF,Assistente Social 
Masculino,60,Não Escolarizado,Meudon, 1,CRAS Meudon,CRAS Meudon,PAIF,Cadastro Único 
Feminino,28,Ensino Superior Completo,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Psicólogo
Masculino,18,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Atendimento Geral 
Feminino,28,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Atendimento Geral 
Feminino,40,Ensino Médio Completo,Vale da Revolta , 1,CRAS Meudon,CRAS Meudon,Público geral ,Psicólogo
Feminino,51,Ensino Médio Incompleto,Vale da Revolta , 1,CRAS Meudon,CRAS Meudon,Público geral ,Psicólogo
Feminino,57,Ensino Médio Incompleto,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Psicólogo
Feminino,38,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Assistente Social 
Feminino,44,Ensino Fundamental Completo,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,49,Ensino Fundamental Completo,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Masculino,28,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,60,Ensino Fundamental Completo,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Masculino,80,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,52,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,21,Ensino Médio Completo,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,43,Ensino Médio Completo,Paineras , 1,CRAS Meudon,CRAS Meudon,Público geral ,Assistente Social 
Feminino,39,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,56,Ensino Fundamental Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,43,Ensino Fundamental Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Masculino,57,Ensino Fundamental Incompleto,Coreia , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,33,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,54,Ensino Fundamental Completo,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Coordenação
Feminino,48,Ensino Médio Incompleto,Bom Retiro , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,31,Ensino Médio Completo,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,74,Não Escolarizado,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,28,Ensino Médio Incompleto,Bom Retiro , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,48,Ensino Fundamental Incompleto,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,33,Ensino Fundamental Incompleto,Jardim Meudon , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,35,Ensino Fundamental Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,29,Ensino Fundamental Incompleto,Vale da Revolta , 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
Feminino,19,Ensino Médio Completo,Meudon, 1,CRAS Meudon,CRAS Meudon,Público geral ,Cadastro Único 
